feature,mae_increase_kw,absolute_weight
active_container_count,216.19685506012848,214.2266484159391
day_of_year,137.12609456289636,237.00803956044717
mean_temperature_setpoint_c,105.7132745451256,159.38365221242904
month,91.14448044663503,116.60742269167264
mean_temperature_return_c,44.31728196451125,96.57883337125654
mean_temperature_supply_c,32.83219816264959,80.56000093855286
mean_stack_tier,28.518459885776352,49.51476907382932
mean_ambient_minus_setpoint_c,12.897012746875632,70.54944517645228
share_stack_tier_2,6.3855915315307215,22.764991918135053
share_hardware_decosiiie,4.134308338564253,14.14704844418374
share_hardware_scc6,3.5201194439069496,58.7548348588966
mean_return_minus_supply_c,3.332500655793595,34.719758545734706
share_hardware_decosvb,2.925055227501616,28.817137637622185
share_hardware_decosiiih,1.8702995472551578,18.373361674135015
dow_cos,1.1886465052041473,9.653831403141943
mean_temperature_ambient_c,1.099858988713052,29.676809680894426
share_hardware_ml2i,0.889289786775393,12.863687116539344
share_hardware_ml5,0.8576550893793211,14.917107705874757
share_hardware_decosiiig,0.4740309122937987,18.207941034184717
share_hardware_mp3000a,0.3810240597234298,13.105156871187274
hour_sin,0.3707799657428126,13.125709386423337
share_hardware_decosiiij,0.2769441670009911,2.4215745544105602
hour_of_day,0.1949557280469918,4.520485063954993
share_hardware_decosva,0.13178811760404585,0.6962584743332606
share_hardware_mp4000,0.031784423744852575,0.6012114069005887
is_weekend,0.03178025915890714,6.836410822103931
share_hardware_decosiiid1,0.0,2.8754808538044934
share_hardware_decosiiif,0.0,0.0
share_hardware_mpc2000id,0.0,0.5668851461285771
share_container_size_45,0.0,2.667948255874478
day_of_week,-0.06231206986392124,4.567106875299046
share_container_size_null,-0.08457769321718445,0.5127178361711983
share_hardware_rccu5,-0.10036565566306876,5.515323860159651
share_stack_tier_3,-0.21333207324271086,26.831281863136613
dow_sin,-0.37970194703511595,4.537682470210163
share_stack_tier_1,-0.5004277569372846,18.849453672963687
share_container_size_20,-0.5783066199649483,5.783446781301472
hour_cos,-0.6944505842498785,13.65673979297161
share_container_size_40,-0.7693636099452164,6.047381304329475
share_hardware_decosiiid,-1.034105947907733,5.9638871167627165
share_hardware_mpc2000,-1.2849817909747827,7.1715013599189215
share_hardware_decosiiic,-3.046315391263306,12.09757985154769
share_hardware_ml3,-4.973685283313557,65.50655114565369
